Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,Gender,JobRole,PerformanceRating,YearsAtCompany,YearsInCurrentRole,MonthlyIncome
30,No,Non-Travel,Research & Development,9,Medical,Male,Laboratory Technician,3,12,9,3072
45,No,Travel_Rarely,Sales,4,Life Sciences,Female,Sales Executive,3,5,4,5006
53,No,Travel_Rarely,Research & Development,13,Medical,Female,Manufacturing Director,3,4,2,4450
33,No,Travel_Rarely,Research & Development,14,Medical,Female,Research Scientist,3,8,7,2756
40,No,Travel_Rarely,Research & Development,4,Medical,Female,Manager,3,20,8,19033
55,No,Travel_Rarely,Research & Development,14,Medical,Male,Research Director,3,24,15,18722
34,No,Travel_Frequently,Research & Development,2,Life Sciences,Male,Manufacturing Director,3,10,9,9547
52,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,Manager,3,33,18,19999
27,No,Travel_Rarely,Research & Development,9,Medical,Female,Research Scientist,3,7,7,2279
43,No,Non-Travel,Research & Development,7,Medical,Male,Research Scientist,3,5,4,2089
45,No,Non-Travel,Research & Development,2,Medical,Male,Manager,4,20,8,16792
37,No,Travel_Rarely,Research & Development,21,Life Sciences,Male,Research Scientist,3,8,7,3564
35,No,Travel_Frequently,Research & Development,2,Medical,Female,Laboratory Technician,3,6,2,4425
38,No,Travel_Rarely,Research & Development,29,Technical Degree,Male,Manufacturing Director,3,7,7,6261
27,No,Travel_Frequently,Research & Development,1,Technical Degree,Male,Manufacturing Director,3,2,2,4298
49,No,Non-Travel,Research & Development,18,Life Sciences,Male,Manufacturing Director,3,7,7,6804
34,No,Travel_Frequently,Research & Development,10,Medical,Male,Research Scientist,3,5,3,3815
40,No,Travel_Rarely,Research & Development,19,Medical,Male,Laboratory Technician,3,7,2,2741
22,No,Travel_Rarely,Research & Development,5,Life Sciences,Male,Research Scientist,3,4,2,2328
36,No,Travel_Frequently,Research & Development,18,Medical,Female,Laboratory Technician,3,8,1,2153
40,No,Non-Travel,Research & Development,9,Life Sciences,Male,Healthcare Representative,3,3,2,4876
46,No,Travel_Rarely,Research & Development,1,Medical,Male,Healthcare Representative,3,4,2,9396
30,No,Non-Travel,Research & Development,1,Life Sciences,Male,Manufacturing Director,4,11,8,8474
27,No,Travel_Frequently,Sales,20,Life Sciences,Female,Sales Executive,3,7,7,9981
45,No,Non-Travel,Sales,6,Medical,Female,Sales Executive,3,19,7,8865
54,No,Travel_Rarely,Sales,3,Marketing,Female,Sales Executive,3,6,2,5940
36,No,Travel_Rarely,Research & Development,5,Life Sciences,Male,Laboratory Technician,3,13,11,5914
37,No,Travel_Frequently,Research & Development,11,Other,Male,Research Director,3,10,8,12185
38,No,Travel_Rarely,Sales,3,Life Sciences,Male,Sales Executive,3,16,10,10609
37,No,Travel_Frequently,Sales,4,Marketing,Male,Sales Representative,3,9,8,2793
29,No,Travel_Frequently,Sales,1,Medical,Female,Sales Executive,3,11,10,7918
35,No,Travel_Frequently,Sales,1,Marketing,Female,Sales Executive,3,10,7,8789
42,No,Travel_Rarely,Research & Development,4,Technical Degree,Male,Manager,3,22,17,19232
59,No,Travel_Rarely,Human Resources,6,Medical,Male,Human Resources,3,2,2,2267
50,No,Travel_Rarely,Sales,1,Medical,Female,Manager,3,7,0,19517
52,No,Non-Travel,Sales,2,Life Sciences,Male,Manager,3,33,7,19068
32,No,Travel_Rarely,Sales,4,Life Sciences,Female,Sales Representative,3,4,3,3931
32,No,Non-Travel,Sales,26,Marketing,Male,Sales Executive,3,3,2,4465
41,No,Travel_Rarely,Research & Development,19,Life Sciences,Male,Research Scientist,3,1,0,3072
40,No,Travel_Rarely,Research & Development,24,Technical Degree,Male,Research Scientist,3,9,8,3319
31,No,Travel_Frequently,Research & Development,3,Medical,Male,Research Director,3,2,2,13675
33,No,Travel_Rarely,Research & Development,5,Life Sciences,Female,Research Scientist,3,2,2,2911
34,No,Travel_Rarely,Research & Development,2,Life Sciences,Male,Manufacturing Director,3,11,9,5957
37,No,Travel_Rarely,Research & Development,1,Medical,Female,Research Scientist,3,3,1,3920
45,No,Travel_Frequently,Research & Development,7,Life Sciences,Male,Manufacturing Director,3,3,2,6434
39,No,Travel_Frequently,Research & Development,2,Technical Degree,Female,Healthcare Representative,4,19,6,10938
42,No,Travel_Rarely,Research & Development,17,Life Sciences,Female,Research Scientist,3,3,2,6545
29,No,Travel_Rarely,Sales,20,Marketing,Male,Sales Executive,3,3,2,6931
42,No,Travel_Rarely,Research & Development,2,Medical,Female,Laboratory Technician,3,9,6,2593
40,No,Travel_Rarely,Research & Development,2,Medical,Male,Research Director,3,21,7,19436
51,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,Research Scientist,3,1,0,2723
32,No,Travel_Frequently,Research & Development,7,Life Sciences,Male,Laboratory Technician,4,5,1,2794
38,No,Non-Travel,Sales,2,Life Sciences,Male,Sales Executive,3,8,7,5249
32,No,Travel_Rarely,Research & Development,2,Technical Degree,Male,Laboratory Technician,3,6,2,2176
29,No,Travel_Rarely,Sales,2,Medical,Male,Sales Executive,3,0,0,6644
31,No,Travel_Rarely,Research & Development,23,Medical,Male,Healthcare Representative,4,9,0,5582
25,No,Non-Travel,Research & Development,5,Life Sciences,Male,Healthcare Representative,3,6,3,4000
45,No,Travel_Rarely,Research & Development,20,Medical,Male,Healthcare Representative,3,20,7,13496
36,No,Travel_Rarely,Research & Development,6,Life Sciences,Male,Laboratory Technician,3,15,13,3210
55,No,Travel_Rarely,Research & Development,1,Medical,Male,Manager,3,36,10,19045
28,No,Travel_Rarely,Research & Development,9,Medical,Male,Research Scientist,4,5,2,2070
37,No,Travel_Rarely,Sales,6,Medical,Male,Sales Executive,3,5,4,6502
21,No,Travel_Rarely,Research & Development,3,Medical,Male,Research Scientist,3,3,2,3230
35,No,Travel_Rarely,Research & Development,22,Life Sciences,Female,Manager,3,7,7,11996
38,No,Travel_Rarely,Sales,7,Medical,Female,Sales Executive,4,8,0,5605
50,No,Travel_Rarely,Research & Development,4,Life Sciences,Male,Research Director,3,10,4,19144
53,No,Travel_Rarely,Research & Development,3,Medical,Male,Research Director,3,5,3,17584
42,No,Travel_Rarely,Sales,1,Life Sciences,Male,Sales Executive,4,20,16,4907
29,No,Travel_Frequently,Sales,2,Life Sciences,Male,Sales Executive,3,10,7,4554
55,No,Travel_Rarely,Research & Development,20,Technical Degree,Male,Laboratory Technician,3,10,7,5415
26,No,Travel_Frequently,Research & Development,11,Medical,Male,Healthcare Representative,3,5,3,4741
37,No,Travel_Rarely,Research & Development,1,Life Sciences,Female,Research Scientist,3,17,12,2115
28,No,Travel_Rarely,Research & Development,8,Life Sciences,Female,Research Scientist,4,5,3,3310
49,No,Travel_Frequently,Research & Development,10,Life Sciences,Female,Research Director,3,3,2,18665
36,No,Travel_Rarely,Research & Development,3,Technical Degree,Male,Research Scientist,3,8,0,4485
37,No,Travel_Frequently,Research & Development,9,Medical,Male,Research Scientist,3,4,2,2326
36,No,Travel_Frequently,Research & Development,18,Life Sciences,Male,Laboratory Technician,3,1,0,3688
51,No,Travel_Rarely,Research & Development,2,Medical,Male,Manufacturing Director,3,4,1,5482
41,No,Travel_Rarely,Sales,2,Life Sciences,Male,Manager,3,22,10,16015
18,No,Travel_Rarely,Sales,10,Medical,Female,Sales Representative,3,0,0,1200
28,No,Travel_Rarely,Research & Development,16,Medical,Male,Healthcare Representative,3,8,3,5661
31,No,Travel_Rarely,Sales,7,Technical Degree,Male,Sales Executive,3,8,7,6929
39,No,Travel_Rarely,Research & Development,1,Medical,Male,Healthcare Representative,3,18,10,9613
36,No,Non-Travel,Research & Development,24,Life Sciences,Female,Laboratory Technician,3,9,8,5674
38,No,Travel_Rarely,Research & Development,25,Life Sciences,Female,Research Director,3,10,8,12061
58,No,Non-Travel,Research & Development,1,Life Sciences,Male,Healthcare Representative,3,5,3,5660
31,No,Travel_Rarely,Research & Development,5,Technical Degree,Male,Research Scientist,3,5,2,4821
31,No,Travel_Rarely,Human Resources,2,Human Resources,Male,Human Resources,3,2,2,6410
45,No,Travel_Frequently,Research & Development,7,Life Sciences,Male,Laboratory Technician,3,24,9,5210
31,No,Travel_Rarely,Research & Development,2,Life Sciences,Male,Research Scientist,3,2,2,2695
33,No,Travel_Frequently,Research & Development,5,Life Sciences,Female,Manager,3,10,6,11878
39,No,Travel_Rarely,Research & Development,10,Medical,Male,Manager,3,21,9,17068
43,No,Travel_Frequently,Research & Development,10,Life Sciences,Female,Laboratory Technician,3,8,7,2455
49,No,Travel_Rarely,Research & Development,1,Technical Degree,Female,Healthcare Representative,3,7,1,13964
27,No,Travel_Rarely,Research & Development,5,Life Sciences,Female,Research Scientist,3,4,3,2478
32,No,Travel_Rarely,Sales,8,Technical Degree,Female,Sales Executive,3,13,12,5228
31,No,Travel_Rarely,Sales,7,Marketing,Male,Sales Executive,3,7,7,7547
32,No,Travel_Rarely,Research & Development,2,Medical,Female,Research Scientist,3,7,7,5055
30,No,Travel_Rarely,Research & Development,28,Medical,Female,Research Scientist,3,10,8,5775
31,No,Travel_Frequently,Research & Development,7,Life Sciences,Female,Manufacturing Director,4,10,9,8943
33,No,Travel_Frequently,Sales,10,Marketing,Male,Sales Executive,3,7,7,4682
43,No,Travel_Frequently,Research & Development,10,Life Sciences,Female,Laboratory Technician,3,9,7,5257
27,No,Non-Travel,Sales,1,Marketing,Male,Sales Executive,3,5,4,6349
54,No,Travel_Frequently,Research & Development,20,Life Sciences,Female,Research Scientist,3,4,3,4869
43,No,Travel_Rarely,Research & Development,7,Life Sciences,Female,Healthcare Representative,3,1,0,9985
45,No,Travel_Rarely,Research & Development,8,Other,Male,Research Scientist,3,10,9,3697
29,No,Travel_Rarely,Research & Development,9,Other,Male,Laboratory Technician,3,3,2,3983
30,No,Travel_Rarely,Sales,5,Marketing,Female,Sales Executive,3,10,9,6118
27,No,Travel_Rarely,Sales,8,Marketing,Female,Sales Executive,3,8,7,6214
31,No,Travel_Rarely,Research & Development,7,Medical,Female,Manufacturing Director,3,11,9,7143
29,No,Travel_Rarely,Sales,10,Marketing,Female,Sales Executive,3,7,7,8268
35,No,Travel_Rarely,Research & Development,5,Technical Degree,Male,Manufacturing Director,3,16,6,8095
23,No,Travel_Rarely,Research & Development,26,Life Sciences,Male,Research Scientist,3,4,2,2904
41,No,Travel_Rarely,Research & Development,6,Medical,Male,Manufacturing Director,3,5,4,6032
42,No,Travel_Rarely,Research & Development,23,Life Sciences,Female,Research Director,3,1,0,15992
29,No,Non-Travel,Sales,2,Life Sciences,Male,Sales Executive,3,4,3,4649
32,No,Travel_Rarely,Research & Development,2,Medical,Female,Laboratory Technician,3,8,0,2370
48,No,Travel_Rarely,Sales,29,Medical,Female,Manager,4,0,0,12504
37,No,Travel_Rarely,Research & Development,6,Medical,Male,Research Scientist,3,7,7,5974
30,No,Non-Travel,Sales,25,Technical Degree,Female,Sales Executive,3,2,2,4736
26,No,Travel_Rarely,Sales,1,Life Sciences,Male,Sales Executive,3,8,7,5296
42,No,Travel_Rarely,Research & Development,2,Other,Male,Healthcare Representative,4,1,0,6781
36,No,Travel_Frequently,Sales,3,Medical,Male,Sales Executive,3,13,9,9699
57,No,Travel_Rarely,Research & Development,1,Medical,Male,Healthcare Representative,3,3,2,6755
40,No,Travel_Rarely,Research & Development,10,Life Sciences,Female,Laboratory Technician,3,7,7,2213
37,No,Travel_Rarely,Research & Development,10,Medical,Female,Laboratory Technician,4,5,4,3452
50,No,Travel_Rarely,Research & Development,10,Technical Degree,Male,Healthcare Representative,3,4,3,10496
31,No,Travel_Rarely,Research & Development,9,Life Sciences,Male,Research Scientist,3,2,2,2657
29,No,Travel_Rarely,Research & Development,23,Life Sciences,Male,Research Scientist,3,3,2,2201
35,No,Travel_Rarely,Research & Development,9,Life Sciences,Male,Healthcare Representative,3,1,1,6540
27,No,Travel_Rarely,Research & Development,1,Medical,Male,Laboratory Technician,3,5,2,3816
49,No,Travel_Rarely,Research & Development,7,Other,Male,Healthcare Representative,4,5,2,10965
51,No,Travel_Rarely,Sales,14,Life Sciences,Female,Sales Executive,3,7,7,4936
36,No,Travel_Rarely,Research & Development,2,Life Sciences,Female,Research Scientist,3,2,2,2543
55,No,Travel_Rarely,Research & Development,2,Life Sciences,Female,Manager,3,5,4,16659
24,No,Travel_Rarely,Sales,10,Marketing,Female,Sales Executive,3,5,2,4260
30,No,Travel_Rarely,Sales,2,Technical Degree,Male,Sales Representative,3,1,0,2476
36,No,Travel_Rarely,Sales,2,Medical,Male,Sales Executive,3,10,9,7596
37,No,Travel_Rarely,Research & Development,14,Life Sciences,Female,Laboratory Technician,3,18,7,3034
40,No,Travel_Rarely,Sales,2,Marketing,Female,Sales Executive,3,5,4,5715
42,No,Travel_Rarely,Research & Development,1,Life Sciences,Female,Laboratory Technician,3,5,2,2576
43,No,Travel_Rarely,Research & Development,12,Life Sciences,Male,Research Director,3,25,10,14336
40,No,Travel_Rarely,Research & Development,2,Medical,Female,Laboratory Technician,4,1,0,3448
54,No,Travel_Rarely,Research & Development,5,Medical,Male,Research Director,3,4,2,19406
34,No,Non-Travel,Sales,4,Marketing,Female,Sales Executive,3,3,2,6538
31,No,Travel_Rarely,Research & Development,7,Medical,Female,Manufacturing Director,3,13,10,4306
43,No,Travel_Frequently,Research & Development,21,Medical,Male,Laboratory Technician,4,3,2,2258
43,No,Travel_Rarely,Research & Development,8,Other,Female,Healthcare Representative,3,5,2,4522
25,No,Travel_Rarely,Sales,4,Life Sciences,Female,Sales Executive,3,5,4,4487
37,No,Non-Travel,Research & Development,25,Medical,Female,Research Scientist,3,13,11,4449
31,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,Laboratory Technician,3,4,2,2218
39,No,Travel_Frequently,Research & Development,1,Life Sciences,Male,Manager,3,21,8,19197
56,No,Travel_Frequently,Sales,6,Life Sciences,Female,Sales Executive,3,7,7,13212
30,No,Travel_Rarely,Sales,12,Technical Degree,Female,Sales Executive,3,5,4,6577
41,No,Travel_Rarely,Sales,1,Marketing,Male,Sales Executive,3,10,7,8392
28,No,Travel_Rarely,Research & Development,17,Medical,Male,Laboratory Technician,3,10,0,4558
52,No,Travel_Rarely,Research & Development,3,Medical,Male,Manufacturing Director,3,5,4,7969
45,No,Travel_Rarely,Research & Development,10,Life Sciences,Male,Research Scientist,4,2,2,2654
46,No,Travel_Rarely,Research & Development,18,Medical,Female,Manufacturing Director,3,10,7,4810
42,No,Travel_Frequently,Research & Development,28,Technical Degree,Female,Healthcare Representative,3,6,5,4523
40,No,Travel_Rarely,Sales,2,Life Sciences,Female,Manager,3,20,15,18041
26,No,Travel_Rarely,Research & Development,23,Life Sciences,Female,Research Scientist,4,3,2,2886
30,No,Non-Travel,Research & Development,3,Life Sciences,Male,Laboratory Technician,3,5,3,2097
29,No,Travel_Rarely,Research & Development,3,Medical,Male,Research Director,3,10,2,11935
30,No,Non-Travel,Sales,22,Other,Female,Sales Executive,3,9,8,8412
57,No,Travel_Rarely,Sales,29,Marketing,Male,Manager,3,1,0,14118
50,No,Travel_Rarely,Research & Development,29,Life Sciences,Male,Manager,3,27,10,17046
60,No,Travel_Frequently,Sales,28,Marketing,Female,Sales Executive,3,18,13,10266
46,No,Travel_Rarely,Research & Development,2,Life Sciences,Male,Research Director,3,3,2,17861
35,No,Travel_Rarely,Research & Development,22,Life Sciences,Male,Laboratory Technician,3,5,4,4230
46,No,Travel_Rarely,Sales,10,Marketing,Female,Sales Executive,3,3,2,9071
31,No,Travel_Rarely,Research & Development,9,Life Sciences,Male,Manufacturing Director,4,13,8,10648
30,No,Travel_Rarely,Sales,7,Marketing,Male,Sales Representative,3,3,2,2983
35,No,Travel_Rarely,Research & Development,16,Life Sciences,Male,Healthcare Representative,3,8,7,7632
36,No,Non-Travel,Sales,10,Medical,Male,Sales Executive,3,10,3,9980
48,No,Travel_Rarely,Sales,2,Marketing,Female,Sales Executive,3,9,7,4051
55,No,Travel_Rarely,Sales,18,Life Sciences,Female,Manager,4,10,9,16835
41,No,Non-Travel,Sales,10,Life Sciences,Male,Sales Executive,3,14,3,6230
40,No,Travel_Rarely,Research & Development,6,Life Sciences,Female,Manufacturing Director,3,20,6,13237
39,No,Travel_Frequently,Research & Development,8,Life Sciences,Female,Laboratory Technician,3,8,3,3755
45,No,Travel_Rarely,Sales,2,Other,Male,Sales Executive,3,8,7,4805
29,No,Travel_Rarely,Research & Development,19,Technical Degree,Male,Manufacturing Director,3,3,2,4262
33,No,Travel_Rarely,Research & Development,1,Medical,Female,Research Director,3,6,1,16184
31,No,Travel_Rarely,Sales,7,Life Sciences,Male,Manager,4,5,4,11557
40,No,Non-Travel,Sales,28,Other,Male,Sales Executive,3,1,0,10932
41,No,Non-Travel,Research & Development,2,Other,Female,Healthcare Representative,3,8,7,6811
26,No,Travel_Rarely,Sales,29,Medical,Male,Sales Executive,3,0,0,4306
35,No,Travel_Rarely,Sales,1,Medical,Female,Sales Executive,3,5,4,4859
34,No,Travel_Rarely,Sales,21,Life Sciences,Male,Sales Executive,3,10,7,5337
37,No,Travel_Rarely,Research & Development,1,Technical Degree,Female,Manufacturing Director,3,6,5,7491
46,No,Travel_Frequently,Research & Development,18,Medical,Female,Healthcare Representative,3,2,2,10527
37,No,Non-Travel,Sales,9,Medical,Male,Sales Executive,3,9,5,8834
52,No,Travel_Rarely,Research & Development,6,Technical Degree,Male,Research Scientist,3,10,9,5577
24,No,Travel_Frequently,Sales,24,Medical,Male,Sales Representative,3,2,2,2400
38,No,Travel_Rarely,Research & Development,10,Medical,Female,Healthcare Representative,3,1,0,9824
